Mod:Item:MetaData, Localized Name
TConstruct:decoration.multibrickfancy:2, Fancy Netherrack Brick
TConstruct:decoration.multibrickfancy:3, Fancy Polished Stone Brick
TConstruct:decoration.multibrickfancy:4, Fancy Iron Brick
TConstruct:decoration.multibrickfancy:5, Fancy Gold Brick
TConstruct:decoration.multibrickfancy:6, Fancy Lapis Brick
TConstruct:decoration.multibrickfancy:7, Fancy Diamond Brick
TConstruct:decoration.multibrickfancy:8, Fancy Redstone Brick
TConstruct:decoration.multibrickfancy:9, Fancy Bone Brick
TConstruct:decoration.multibrickfancy:10, Fancy Slime Brick
TConstruct:decoration.multibrickfancy:11, Fancy Slime Brick
TConstruct:decoration.multibrickfancy:12, Fancy Endstone Brick
TConstruct:decoration.multibrickfancy:13, Fancy Obsidian Brick
TConstruct:decoration.multibrickfancy:14, Fancy Stone Brick
TConstruct:decoration.multibrickfancy:15, Stone Road
TConstruct:decoration.multibrickmetal:0, Alumite Brick
TConstruct:decoration.multibrickmetal:1, Ardite Brick
TConstruct:decoration.multibrickmetal:2, Cobalt Brick
TConstruct:decoration.multibrickmetal:3, Manyullyn Brick
TConstruct:decoration.multibrickmetal:4, Fancy Alumite Brick
TConstruct:decoration.multibrickmetal:5, Fancy Ardite Brick
TConstruct:decoration.multibrickmetal:6, Fancy Cobalt Brick
TConstruct:decoration.multibrickmetal:7, Fancy Manyullyn Brick
TConstruct:ore.berries.one:8, Iron Oreberry Bush
TConstruct:ore.berries.one:9, Gold Oreberry Bush
TConstruct:ore.berries.one:10, Copper Oreberry Bush
TConstruct:ore.berries.one:11, Tin Oreberry Bush
TConstruct:ore.berries.two:8, Aluminum Oreberry Bush
TConstruct:ore.berries.two:9, Essence Berry Bush
TConstruct:SearedBrick:1, Cobalt Ore
TConstruct:SearedBrick:2, Ardite Ore
TConstruct:SearedBrick:3, Copper Ore
TConstruct:SearedBrick:4, Tin Ore
TConstruct:SearedBrick:5, Aluminum Ore
TConstruct:GravelOre:0, Iron Gravel Ore
TConstruct:GravelOre:1, Gold Gravel Ore
TConstruct:GravelOre:2, Copper Gravel Ore
TConstruct:GravelOre:3, Tin Gravel Ore
TConstruct:GravelOre:4, Aluminum Gravel Ore
TConstruct:GravelOre:5, Cobalt Gravel Ore
TConstruct:rail.wood, Wooden Rail
TConstruct:MetalBlock:0, Block of Cobalt
TConstruct:MetalBlock:1, Block of Ardite
TConstruct:MetalBlock:2, Block of Manyullyn
TConstruct:MetalBlock:3, Block of Copper
TConstruct:MetalBlock:4, Block of Bronze
TConstruct:MetalBlock:5, Block of Tin
TConstruct:MetalBlock:6, Block of Aluminum
TConstruct:MetalBlock:7, Block of Aluminum Brass
TConstruct:MetalBlock:8, Block of Alumite
TConstruct:MetalBlock:9, Block of Steel
TConstruct:MetalBlock:10, Block of Solid Ender
TConstruct:ToolStationBlock:0, Tool Station
TConstruct:ToolStationBlock:1, Part Builder
TConstruct:ToolStationBlock:2, Part Builder
TConstruct:ToolStationBlock:3, Part Builder
TConstruct:ToolStationBlock:4, Part Builder
TConstruct:ToolStationBlock:5, Pattern Chest
TConstruct:ToolStationBlock:10, Stencil Table
TConstruct:ToolStationBlock:11, Stencil Table
TConstruct:ToolStationBlock:12, Stencil Table
TConstruct:ToolStationBlock:13, Stencil Table
TConstruct:ToolForgeBlock:0, Tool Forge
TConstruct:ToolForgeBlock:1, Tool Forge
TConstruct:ToolForgeBlock:2, Tool Forge
TConstruct:ToolForgeBlock:3, Tool Forge
TConstruct:ToolForgeBlock:4, Tool Forge
TConstruct:ToolForgeBlock:5, Tool Forge
TConstruct:ToolForgeBlock:6, Tool Forge
TConstruct:ToolForgeBlock:7, Tool Forge
TConstruct:ToolForgeBlock:8, Tool Forge
TConstruct:ToolForgeBlock:9, Tool Forge
TConstruct:ToolForgeBlock:10, Tool Forge
TConstruct:ToolForgeBlock:11, Tool Forge
TConstruct:ToolForgeBlock:12, Tool Forge
TConstruct:ToolForgeBlock:13, Tool Forge
TConstruct:CraftingStation, Crafting Station
TConstruct:CraftingSlab:0, Crafting Station
TConstruct:CraftingSlab:1, Tool Station
TConstruct:CraftingSlab:2, Part Builder
TConstruct:CraftingSlab:3, Stencil Table
TConstruct:CraftingSlab:4, Pattern Chest
TConstruct:CraftingSlab:5, Tool Forge
TConstruct:FurnaceSlab, Slab Furnace
TConstruct:HeldItemBlock, Frying Pan
TConstruct:BattleSignBlock, tile.Battlesign.name
TConstruct:CraftedSoil:0, Slimy Mud
TConstruct:CraftedSoil:1, Grout
TConstruct:CraftedSoil:2, Slimy Mud
TConstruct:CraftedSoil:3, Graveyard Soil
TConstruct:CraftedSoil:4, Consecrated Soil
TConstruct:CraftedSoil:5, Blue Slimedirt
TConstruct:CraftedSoil:6, Slime Soil
TConstruct:fluid.molten.iron, Molten Iron
TConstruct:fluid.molten.gold, Molten Gold
TConstruct:fluid.molten.copper, Molten Copper
TConstruct:fluid.molten.tin, Liquid Tin
TConstruct:fluid.molten.aluminum, Molten Aluminum
TConstruct:fluid.molten.cobalt, Molten Cobalt
TConstruct:fluid.molten.ardite, Molten Ardite
TConstruct:fluid.molten.bronze, Molten Bronze
TConstruct:fluid.molten.alubrass, Molten Aluminum Brass
TConstruct:fluid.molten.manyullyn, Molten Manyullyn
TConstruct:fluid.molten.alumite, Molten Alumite
TConstruct:fluid.molten.obsidian, Molten Obsidian
TConstruct:fluid.molten.steel, Molten Steel
TConstruct:fluid.molten.glass, Molten Glass
TConstruct:molten.stone, Seared Stone
TConstruct:molten.emerald, Liquified Emerald
TConstruct:fluid.molten.nickel, Molten Nickel
TConstruct:fluid.molten.lead, Molten Lead
TConstruct:fluid.molten.silver, Molten Silver
TConstruct:fluid.molten.shiny, Molten Shiny
TConstruct:fluid.molten.invar, Molten Invar
TConstruct:fluid.molten.electrum, Molten Electrum
TConstruct:fluid.ender, Liquified Ender
TConstruct:fluid.molten.lumium, Molten Lumium
TConstruct:fluid.molten.signalum, Molten Signalum
TConstruct:fluid.molten.mithril, Molten Mana Infused Metal
TConstruct:fluid.molten.enderium, Molten Enderium
TConstruct:liquid.blood, Blood
TConstruct:liquid.glue, Glue
TConstruct:fluid.molten.pigiron, Molten Pig Iron
TConstruct:SearedSlab:0, Seared Brick Slab
TConstruct:SearedSlab:1, Seared Stone Slab
TConstruct:SearedSlab:2, Seared Cobblestone Slab
TConstruct:SearedSlab:3, Seared Paver Slab
TConstruct:SearedSlab:4, Seared Road Slab
TConstruct:SearedSlab:5, Fancy Seared Slab
TConstruct:SearedSlab:6, Chiseled Seared Slab
TConstruct:SearedSlab:7, Chiseled Seared Slab
TConstruct:SpeedSlab:0, Rough Brownstone Slab
TConstruct:SpeedSlab:1, Brownstone Road Slab
TConstruct:SpeedSlab:2, Brownstone Slab
TConstruct:SpeedSlab:3, Brownstone Brick Slab
TConstruct:SpeedSlab:4, Brownstone Road Slab
TConstruct:SpeedSlab:5, Fancy Brownstone Slab
TConstruct:SpeedSlab:6, Chiseled Brownstone Slab
TConstruct:GlueBlock, Glue Block
TConstruct:Smeltery:0, Smeltery Controller
TConstruct:Smeltery:1, Smeltery Drain
TConstruct:Smeltery:2, Seared Bricks
TConstruct:Smeltery:4, Seared Stone
TConstruct:Smeltery:5, Seared Cobblestone
TConstruct:Smeltery:6, Seared Paver
TConstruct:Smeltery:7, Cracked Seared Bricks
TConstruct:Smeltery:8, Seared Road
TConstruct:Smeltery:9, Fancy Seared Bricks
TConstruct:Smeltery:10, Chiseled Seared Bricks
TConstruct:Smeltery:11, Chiseled Seared Bricks
TConstruct:SmelteryNether:0, Smeltery Controller
TConstruct:SmelteryNether:1, Smeltery Drain
TConstruct:SmelteryNether:2, Seared Bricks
TConstruct:SmelteryNether:4, Seared Stone
TConstruct:SmelteryNether:5, Seared Cobblestone
TConstruct:SmelteryNether:6, Seared Paver
TConstruct:SmelteryNether:7, Cracked Seared Bricks
TConstruct:SmelteryNether:8, Seared Road
TConstruct:SmelteryNether:9, Fancy Seared Bricks
TConstruct:SmelteryNether:10, Chiseled Seared Bricks
TConstruct:SmelteryNether:11, Chiseled Seared Bricks
TConstruct:LavaTank:0, Seared Tank
TConstruct:LavaTank:1, Seared Glass
TConstruct:LavaTank:2, Seared Window
TConstruct:LavaTankNether:0, Seared Tank
TConstruct:LavaTankNether:1, Seared Glass
TConstruct:LavaTankNether:2, Seared Window
TConstruct:SearedBlock:0, Casting Table
TConstruct:SearedBlock:1, Seared Faucet
TConstruct:SearedBlock:2, Casting Basin
TConstruct:SearedBlockNether:0, Casting Table
TConstruct:SearedBlockNether:1, Seared Faucet
TConstruct:SearedBlockNether:2, Casting Basin
TConstruct:CastingChannel:0, Casting Channel
TConstruct:SpeedBlock:0, Rough Brownstone
TConstruct:SpeedBlock:1, Brownstone Road
TConstruct:SpeedBlock:2, Brownstone
TConstruct:SpeedBlock:3, Brownstone Brick
TConstruct:SpeedBlock:4, Brownstone Road
TConstruct:SpeedBlock:5, Fancy Brownstone
TConstruct:SpeedBlock:6, Chiseled Brownstone
TConstruct:GlassBlock:0, Clear Glass
TConstruct:GlassPane:0, Clear Glass Pane
TConstruct:GlassBlock.StainedClear:0, White Stained Glass
TConstruct:GlassBlock.StainedClear:1, Orange Stained Glass
TConstruct:GlassBlock.StainedClear:2, Magenta Stained Glass
TConstruct:GlassBlock.StainedClear:3, Light Blue Stained Glass
TConstruct:GlassBlock.StainedClear:4, Yellow Stained Glass
TConstruct:GlassBlock.StainedClear:5, Lime Stained Glass
TConstruct:GlassBlock.StainedClear:6, Pink Stained Glass
TConstruct:GlassBlock.StainedClear:7, Gray Stained Glass
TConstruct:GlassBlock.StainedClear:8, Light Gray Stained Glass
TConstruct:GlassBlock.StainedClear:9, Cyan Stained Glass
TConstruct:GlassBlock.StainedClear:10, Purple Stained Glass
TConstruct:GlassBlock.StainedClear:11, Blue Stained Glass
TConstruct:GlassBlock.StainedClear:12, Brown Stained Glass
TConstruct:GlassBlock.StainedClear:13, Green Stained Glass
TConstruct:GlassBlock.StainedClear:14, Red Stained Glass
TConstruct:GlassBlock.StainedClear:15, Black Stained Glass
TConstruct:GlassPaneClearStained:0, White Stained Pane
TConstruct:GlassPaneClearStained:1, Orange Stained Pane
TConstruct:GlassPaneClearStained:2, Magenta Stained Pane
TConstruct:GlassPaneClearStained:3, Light Blue Stained Pane
TConstruct:GlassPaneClearStained:4, Yellow Stained Pane
TConstruct:GlassPaneClearStained:5, Lime Stained Pane
TConstruct:GlassPaneClearStained:6, Pink Stained Pane
TConstruct:GlassPaneClearStained:7, Gray Stained Pane
TConstruct:GlassPaneClearStained:8, Light Gray Stained Pane
TConstruct:GlassPaneClearStained:9, Cyan Stained Pane
TConstruct:GlassPaneClearStained:10, Purple Stained Pane
TConstruct:GlassPaneClearStained:11, Blue Stained Pane
TConstruct:GlassPaneClearStained:12, Brown Stained Pane
TConstruct:GlassPaneClearStained:13, Green Stained Pane
TConstruct:GlassPaneClearStained:14, Red Stained Pane
TConstruct:GlassPaneClearStained:15, Black Stained Pane
TConstruct:Redstone.Landmine:0, Landmine
TConstruct:Redstone.Landmine:1, Landmine
TConstruct:Redstone.Landmine:2, Landmine
TConstruct:Redstone.Landmine:3, Landmine
TConstruct:Armor.DryingRack, Drying Rack
TSteelworks:molten.limestone, Molten Limestone
TSteelworks:liquid.cement, Wet Cement
TSteelworks:HighOven:0, High Oven Controller
TSteelworks:HighOven:1, Scorched Drain
TSteelworks:HighOven:2, Scorched Bricks
TSteelworks:HighOven:3, Creepy Scorched Bricks
TSteelworks:HighOven:4, Scorched Stone
TSteelworks:HighOven:5, Scorched Cobblestone
TSteelworks:HighOven:6, Scorched Paver
TSteelworks:HighOven:7, Cracked Scorched Bricks
TSteelworks:HighOven:8, Scorched Road
TSteelworks:HighOven:9, Fancy Scorched Bricks
TSteelworks:HighOven:10, Chiseled Scorched Bricks
TSteelworks:HighOven:12, Scorched Duct
TSteelworks:HighOven:13, Deep Tank Controller
TSteelworks:ScorchedSlab:0, Scorched Bricks Slab
TSteelworks:ScorchedSlab:1, Creepy Scorched Slab
TSteelworks:ScorchedSlab:2, Scorched Stone Slab
TSteelworks:ScorchedSlab:3, Scorched Cobblestone Slab
TSteelworks:ScorchedSlab:4, Scorched Paver Slab
TSteelworks:ScorchedSlab:5, Cracked Scorched Bricks Slab
TSteelworks:ScorchedSlab:6, Scorched Road Slab
TSteelworks:ScorchedSlab:7, Fancy Scorched Slab
TSteelworks:dustStorage:0, Block of Gunpowder
TSteelworks:dustStorage:1, Sugar Cube
TSteelworks:Limestone:0, Limestone
TSteelworks:Limestone:1, Limestone Cobble
TSteelworks:Limestone:2, Limestone Bricks
TSteelworks:Limestone:3, Cracked Limestone Bricks
TSteelworks:Limestone:4, Limestone Paver
TSteelworks:Limestone:5, Limestone Road
TSteelworks:Limestone:6, Fancy Limestone Bricks
TSteelworks:Limestone:7, Chiseled Limestone Bricks
TSteelworks:Limestone:8, Creepy Limestone Bricks
TSteelworks:LimestoneSlab:0, Limestone Slab
TSteelworks:LimestoneSlab:1, Limestone Cobble Slab
TSteelworks:LimestoneSlab:2, Limestone Bricks Slab
TSteelworks:LimestoneSlab:3, block.limestone.slab.cracked.name
TSteelworks:LimestoneSlab:4, Limestone Paver Slab
TSteelworks:LimestoneSlab:5, Limestone Road Slab
TSteelworks:LimestoneSlab:6, Fancy Limestone Slab
TSteelworks:LimestoneSlab:7, Chiseled Limestone Slab
TSteelworks:Cement:0, White Cement
TSteelworks:Cement:1, Orange Cement
TSteelworks:Cement:2, Magenta Cement
TSteelworks:Cement:3, Light Blue Cement
TSteelworks:Cement:4, Yellow Cement
TSteelworks:Cement:5, Lime Green Cement
TSteelworks:Cement:6, Pink Cement
TSteelworks:Cement:7, Gray Cement
TSteelworks:Cement:8, Light Gray Cement
TSteelworks:Cement:9, Cyan Cement
TSteelworks:Cement:10, Purple Cement
TSteelworks:Cement:11, Blue Cement
TSteelworks:Cement:12, Brown Cement
TSteelworks:Cement:13, Green Cement
TSteelworks:Cement:14, Red Cement
TSteelworks:Cement:15, Black Cement
TSteelworks:tile.Machine.Turbine, Steam Turbine
TSteelworks:blockCharcoal, Block of Charcoal
ExtraTiC:moltenPokefennium, Molten Pokefennium
ExtraTiC:moltenFairy, Molten Fairy
ExtraTiC:moltenRedAurum, Molten RedAurum
ExtraTiC:moltenDesh, Molten Desh
ExtraTiC:moltenDarkSteel, Molten Dark Steel
ExtraTiC:moltenZinc, Molten Zinc
ExtraTiC:moltenBrass, Molten Brass
ExtraTiC:moltenAdamantine., Molten Adamantine
ExtraTiC:moltenBlueAlloy, Molten Blue Alloy
ExtraTiC:liquidInfusedTeslatite, Liquid Infused Teslatite
ExtraTiC:moltenPurpleAlloy, Molten Purple Alloy
ExtraTiC:moltenRedAlloy, Molten Red Alloy
ExtraTiC:liquidTeslatite, Liquid Teslatite
ExtraTiC:moltenTungsten, Molten Tungsten
ExtraTiC:moltenConductiveIron, Molten Conductive Iron
ExtraTiC:moltenElectricalSteel, Molten Electrical Steel
ExtraTiC:moltenEnergeticAlloy, Molten Energetic Alloy
ExtraTiC:moltenPhasedGold, Molten Phased Gold
ExtraTiC:moltenPhasedIron, Molten Phased Iron
ExtraTiC:moltenRedstoneAlloy, Molten Redstone Alloy
ExtraTiC:liquidSilicon, Liquid Silicon
ExtraTiC:moltenSoularium, Molten Soularium
ExtraTiC:moltenManasteel, Molten Manasteel
ExtraTiC:moltenTerrasteel, Molten Terrasteel
ExtraTiC:moltenElementium, Molten Elementium
ExtraTiC:moltenVoidmetal, Molten Voidmetal
ExtraTiC:moltenblutonium, Molten Blutonium
ExtraTiC:moltenLudicrite, Molten Ludicrite
ExtraTiC:moltenBedrockium, Molten Bedrockium
ExtraTiC:blockFunStuff:0, Fairy Block
ExtraTiC:blockFunStuff:1, Pokefennium Block
ExtraTiC:blockFunStuff:2, RedAurum Block
factorization:FzBlock:3, Stamper
factorization:FzBlock:8, Packager
factorization:FzBlock:11, Slag Furnace
factorization:FzBlock:28, Parasieve
factorization:FzBlock:2, Battery Block
factorization:FzBlock:26, Leyden Jar
factorization:FzBlock:26, Leyden Jar
factorization:FzBlock:43, Creative Charge Source
factorization:FzBlock:31, Caliometric Burner
factorization:FzBlock:49, Sap Tap
factorization:FzBlock:50, Anthropic Generator
factorization:FzBlock:22, Water Boiler
factorization:FzBlock:21, Steam Turbine
factorization:FzBlock:54, Shaft
factorization:FzBlock:51, Bibliogen
factorization:FzBlock:0, Mirror
factorization:FzBlock:52, Charge Generator
factorization:FzBlock:55, Windmill Base
factorization:FzBlock:57, Waterwheel Base
factorization:FzBlock:53, Steam Whirligig
factorization:FzBlock:15, Furnace Heater
factorization:FzBlock:14, factorization.factoryBlock.LEADWIRE.name
factorization:FzBlock:18, Mixer
factorization:FzBlock:19, Crystallizer
factorization:FzBlock:25, Sculpture
factorization:FzBlock:32, Socket Block
factorization:FzBlock:27, Servo Rail
factorization:FzBlock:6, Magical Lamp
factorization:FzBlock:29, Compression Crafter
factorization:FzBlock:44, Hinge
factorization:FzBlock:60, The Hall of Legends
factorization:Lightair, tile.lightair.name
factorization:ResourceBlock:0, tile.factorization.ResourceBlock.SILVERORE.name
factorization:ResourceBlock:1, tile.factorization.ResourceBlock.SILVERBLOCK.name
factorization:ResourceBlock:2, tile.factorization.ResourceBlock.LEADBLOCK.name
factorization:ResourceBlock:3, Block of Dark Iron
factorization:DarkIronOre, Dark Iron Ore
factorization:FracturedBedrock, Fractured Bedrock
factorization:BlastedBedrock, Blasted Bedrock
factorization:GargantuanBlock, Gargantuan Brick
factorization:MantleRock, Mantle Rock
factorization:BlockMatcher, tile.BlockMatcher.name
factorization:ArtifactForge, Artifact Forge
factorization:ColossalBlock:0, §nColossal Mask§r
factorization:ColossalBlock:1, §nFractured Colossal Block§r
factorization:ColossalBlock:2, §nColossal Arm§r
factorization:ColossalBlock:3, §nColossal Leg§r
factorization:ColossalBlock:4, §nColossal Block§r
factorization:ColossalBlock:5, §nColossal Eye§r (closed)
factorization:ColossalBlock:6, §k§nDark Colossal Heart§r
factorization:ColossalBlock:7, §nColossal Eye§r
factorization:ColossalBlock:9, §nFractured Colossal Mask§r
factorization:BlastBlock, tile.blastBlock.name
flansmod:flansWorkbench:0, Vehicle Crafting Table
flansmod:teamsSpawner:0, Item Spawner
flansmod:teamsSpawner:1, Player Spawner
flansmod:teamsSpawner:2, Vehicle Spawner
flansmod:armorBox.mwArmour, Modern Warfare Armor Box
flansmod:gunBox.modern, Modern Weapons Box
flansmod:gunBox.nerf, Nerf Blaster Box
FlatSigns:blockFlatSign, Sign
ThaumicTinkerer:infusedFarmland, tile.infusedFarmland.name
ThaumicTinkerer:travelStairs, Paving Stair of Travel
ThaumicTinkerer:wardSlab:0, tile.wardSlab.name
ThaumicTinkerer:wardSlabFull:0, tile.wardSlab.name
ThaumicTinkerer:nitorGas, tile.nitorGas.name
ThaumicTinkerer:darkQuartzSlab:0, Smokey Quartz Slab
ThaumicTinkerer:darkQuartzSlabFull:0, Smokey Quartz Slab
ThaumicTinkerer:fireAir, Aer Imbued Fire
ThaumicTinkerer:fireOrder, Ordo Imbued Fire
ThaumicTinkerer:Levitational Locomotive Relay, Levitational Locomotive Relay
ThaumicTinkerer:gaseousShadow, tile.gaseousShadow.name
ThaumicTinkerer:magnet:0, Kinetic Attractor
ThaumicTinkerer:magnet:1, Corporeal Attractor
ThaumicTinkerer:darkQuartz:0, Block of Smokey Quartz
ThaumicTinkerer:darkQuartz:1, Chiseled Smokey Quartz Block
ThaumicTinkerer:darkQuartz:2, Pillar Smokey Quartz Block
ThaumicTinkerer:aspectAnalyzer, Aspectalyzer
ThaumicTinkerer:travelSlab:0, Paving Slab of Travel
ThaumicTinkerer:travelSlabFull:0, Paving Slab of Travel
ThaumicTinkerer:fireEarth, Terra Imbued Fire
ThaumicTinkerer:spawner, Tablet of Necromancy
ThaumicTinkerer:repairer, Thaumic Restorer
ThaumicTinkerer:fireChaos, Perditio Imbued Fire
ThaumicTinkerer:forcefield, Forcefield
ThaumicTinkerer:animationTablet, Dynamism Tablet
ThaumicTinkerer:golemConnector, Golem Connector
ThaumicTinkerer:infusedGrainBlock, tile.infusedGrainBlock.name
ThaumicTinkerer:platform, Ethereal Platform
ThaumicTinkerer:gaseousLight, tile.gaseousLight.name
ThaumicTinkerer:interface, Transvector Interface
ThaumicTinkerer:fireWater, Aqua Imbued Fire
ThaumicTinkerer:bedrockPortal, Bedrock Portal
ThaumicTinkerer:dislocator, Transvector Dislocator
ThaumicTinkerer:warpGate, Celestial Gateway
ThaumicTinkerer:enchanter, Osmotic Enchanter
ThaumicTinkerer:funnel, Essentia Funnel
ThaumicTinkerer:Levitational Locomotive, Levitational Locomotive
ThaumicTinkerer:fireFire, Ignis Imbued Fire
ThaumicTinkerer:darkQuartzStairs, Smokey Quartz Stairs
ForbiddenMagic:ArcaneCake, Thaumic Cake
ForbiddenMagic:WrathCage, Wrath Cage
ForbiddenMagic:InkFlower, Umbral Rose
ForbiddenMagic:StarBlock, Nether Star Block
ForbiddenMagic:UmbralBush, Umbral Rose Bush
ForbiddenMagic:TaintLog, Tainted Log
ForbiddenMagic:TaintPlank, Tainted Planks
ForbiddenMagic:TaintLeaves, Tainted Leaves
ForbiddenMagic:TaintSapling, Tainted Sapling
ForbiddenMagic:TaintBlock:0, Tainted Stone
ForbiddenMagic:TaintBlock:1, Tainted Stone Bricks
funkylocomotion:frame:0, Frame Block
funkylocomotion:frame2:0, Frame Block (W)
funkylocomotion:frame3:0, Frame Block (E)
funkylocomotion:frame4:0, Frame Block (WE)
funkylocomotion:moving, tile.funkylocomotion:moving.name
funkylocomotion:pusher:0, Frame Pusher
funkylocomotion:pusher:6, Frame Puller
funkylocomotion:slider, Frame Slider
funkylocomotion:booster, Frame Booster
ganysnether:tilledNetherrack, Tilled Netherrack
ganysnether:quarzBerryBush, Quarz-Berry Bush
ganysnether:spectreWheat, Spectre Wheat
ganysnether:glowingReed, Glowing Reed
ganysnether:soulGlass:0, Soul Glass
ganysnether:soulGlass:1, Soul Glass Brick
ganysnether:soulChest, Soul Chest
ganysnether:volcanicFurnace, Volcanic Furnace
ganysnether:denseLavaCell, Dense Lava Cell
ganysnether:glowBox:0, Black Glow Box
ganysnether:glowBox:1, Red Glow Box
ganysnether:glowBox:2, Green Glow Box
ganysnether:glowBox:3, Brown Glow Box
ganysnether:glowBox:4, Blue Glow Box
ganysnether:glowBox:5, Purple Glow Box
ganysnether:glowBox:6, Cyan Glow Box
ganysnether:glowBox:7, Light Gray Glow Box
ganysnether:glowBox:8, Gray Glow Box
ganysnether:glowBox:9, Pink Glow Box
ganysnether:glowBox:10, Lime Glow Box
ganysnether:glowBox:11, Yellow Glow Box
ganysnether:glowBox:12, Light Blue Glow Box
ganysnether:glowBox:13, Magenta Glow Box
ganysnether:glowBox:14, Orange Glow Box
ganysnether:glowBox:15, White Glow Box
minecraft:record_13, Music Disc
minecraft:record_cat, Music Disc
minecraft:record_blocks, Music Disc
minecraft:record_chirp, Music Disc
minecraft:record_far, Music Disc
minecraft:record_mall, Music Disc
minecraft:record_mellohi, Music Disc
minecraft:record_stal, Music Disc
minecraft:record_strad, Music Disc
minecraft:record_ward, Music Disc
minecraft:record_11, Music Disc
minecraft:record_wait, Music Disc
ganysnether:colouredQuartzBlock:0, Black Quartz Block
ganysnether:colouredQuartzBlock:1, Red Quartz Block
ganysnether:colouredQuartzBlock:2, Green Quartz Block
ganysnether:colouredQuartzBlock:3, Brown Quartz Block
ganysnether:colouredQuartzBlock:4, Blue Quartz Block
ganysnether:colouredQuartzBlock:5, Purple Quartz Block
ganysnether:colouredQuartzBlock:6, Cyan Quartz Block
ganysnether:colouredQuartzBlock:7, Light Gray Quartz Block
ganysnether:colouredQuartzBlock:8, Gray Quartz Block
ganysnether:colouredQuartzBlock:9, Pink Quartz Block
ganysnether:colouredQuartzBlock:10, Lime Quartz Block
ganysnether:colouredQuartzBlock:11, Yellow Quartz Block
ganysnether:colouredQuartzBlock:12, Light Blue Quartz Block
ganysnether:colouredQuartzBlock:13, Magenta Quartz Block
ganysnether:colouredQuartzBlock:14, Orange Quartz Block
ganysnether:colouredQuartzBlock:15, White Quartz Block
ganysnether:colouredChiselledQuartzBlock:0, Black Chiselled Quartz Block
ganysnether:colouredChiselledQuartzBlock:1, Red Chiselled Quartz Block
ganysnether:colouredChiselledQuartzBlock:2, Green Chiselled Quartz Block
ganysnether:colouredChiselledQuartzBlock:3, Brown Chiselled Quartz Block
ganysnether:colouredChiselledQuartzBlock:4, Blue Chiselled Quartz Block
ganysnether:colouredChiselledQuartzBlock:5, Purple Chiselled Quartz Block
ganysnether:colouredChiselledQuartzBlock:6, Cyan Chiselled Quartz Block
ganysnether:colouredChiselledQuartzBlock:7, Light Gray Chiselled Quartz Block
ganysnether:colouredChiselledQuartzBlock:8, Gray Chiselled Quartz Block
ganysnether:colouredChiselledQuartzBlock:9, Pink Chiselled Quartz Block
ganysnether:colouredChiselledQuartzBlock:10, Lime Chiselled Quartz Block
ganysnether:colouredChiselledQuartzBlock:11, Yellow Chiselled Quartz Block
ganysnether:colouredChiselledQuartzBlock:12, Light Blue Chiselled Quartz Block
ganysnether:colouredChiselledQuartzBlock:13, Magenta Chiselled Quartz Block
ganysnether:colouredChiselledQuartzBlock:14, Orange Chiselled Quartz Block
ganysnether:colouredChiselledQuartzBlock:15, White Chiselled Quartz Block
ganysnether:blackQuartzStairs, Black Quartz Stairs
ganysnether:redQuartzStairs, Red Quartz Stairs
ganysnether:greenQuartzStairs, Green Quartz Stairs
ganysnether:brownQuartzStairs, Brown Quartz Stairs
ganysnether:blueQuartzStairs, Blue Quartz Stairs
ganysnether:purpleQuartzStairs, Purple Quartz Stairs
ganysnether:cyanQuartzStairs, Cyan Quartz Stairs
ganysnether:lightGreyQuartzStairs, Light Gray Quartz Stairs
ganysnether:greyQuartzStairs, Gray Quartz Stairs
ganysnether:pinkQuartzStairs, Pink Quartz Stairs
ganysnether:limeQuartzStairs, Lime Quartz Stairs
ganysnether:yellowQuartzStairs, Yellow Quartz Stairs
ganysnether:lightBlueQuartzStairs, Light Blue Quartz Stairs
ganysnether:magentaQuartzStairs, Magenta Quartz Stairs
ganysnether:orangeQuartzStairs, Orange Quartz Stairs
ganysnether:whiteQuartzStairs, White Quartz Stairs
ganysnether:soulGlassStairs, Soul Glass Brick Stairs
ganysnether:colouredQuartzPillar0:0, Black Pillar Quartz Block
ganysnether:colouredQuartzPillar0:1, Red Pillar Quartz Block
ganysnether:colouredQuartzPillar0:2, Green Pillar Quartz Block
ganysnether:colouredQuartzPillar0:3, Brown Pillar Quartz Block
ganysnether:colouredQuartzPillar1:0, Blue Pillar Quartz Block
ganysnether:colouredQuartzPillar1:1, Purple Pillar Quartz Block
ganysnether:colouredQuartzPillar1:2, Cyan Pillar Quartz Block
ganysnether:colouredQuartzPillar1:3, Light Gray Pillar Quartz Block
ganysnether:colouredQuartzPillar2:0, Gray Pillar Quartz Block
ganysnether:colouredQuartzPillar2:1, Pink Pillar Quartz Block
ganysnether:colouredQuartzPillar2:2, Lime Pillar Quartz Block
ganysnether:colouredQuartzPillar2:3, Yellow Pillar Quartz Block
ganysnether:colouredQuartzPillar3:0, Light Blue Pillar Quartz Block
ganysnether:colouredQuartzPillar3:1, Magenta Pillar Quartz Block
ganysnether:colouredQuartzPillar3:2, Orange Pillar Quartz Block
ganysnether:colouredQuartzPillar3:3, White Pillar Quartz Block
ganysnether:reproducer, Reproducer
ganysnether:undertaker, Undertaker
ganysnether:witherShrub, Wither Shrub
ganysnether:magmaticCentrifuge, Magmatic Centrifuge
ganysnether:weepingPod, Weeping Pod
ganysnether:soulTNT, Soul TNT
